,USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END,airport
20192,725466,4938,ANKENY REGIONAL AIRPORT,US,IA,KIKV,41.691,-93.566,277.4,20060101,20181019,True
20200,725470,94908,DUBUQUE REGIONAL AIRPORT,US,IA,KDBQ,42.398,-90.704,321.9,19730101,20181019,True
20256,725520,14935,CENTRAL NEBRASKA REGIONAL AIRPORT,US,NE,KGRI,40.961000000000006,-98.314,560.8,19440301,20181019,True
20314,725645,24022,LARAMIE REGIONAL AIRPORT,US,WY,KLAR,41.317,-105.68299999999999,2214.7,19730101,20181019,True
20319,725650,3017,DENVER INTERNATIONAL AIRPORT,US,CO,KDEN,39.833,-104.65799999999999,1650.2,19940718,20181019,True
20344,725720,24127,SALT LAKE CITY INTERNATIONAL AIRPORT,US,UT,KSLC,40.778,-111.969,1287.8,19411101,20181019,True
20369,725780,24156,POCATELLO REGIONAL AIRPORT,US,ID,KPIH,42.92,-112.571,1357.0,19430101,20181019,True
20389,725825,24121,ELKO REGIONAL AIRPORT,US,NV,KEKO,40.829,-115.789,1533.1,19770101,20181019,True
20482,726064,64709,SANFORD REGIONAL AIRPORT,US,ME,KSFM,43.394,-70.708,74.4,20060101,20181019,True
20542,726170,14742,BURLINGTON INTERNATIONAL AIRPORT,US,VT,KBTV,44.468,-73.15,100.6,19480101,20181019,True
20563,726225,64776,PLATTSBURGH INTERNATIONAL AIRPORT,US,NY,KPBG,44.65,-73.467,71.3,20070618,20181019,True
20594,726350,94860,GERALD R FORD INTERNATIONAL AIRPORT,US,MI,KGRR,42.883,-85.524,244.8,19730101,20181019,True
20608,726370,14826,BISHOP INTERNATIONAL AIRPORT,US,MI,KFNT,42.967,-83.749,234.7,19730101,20181019,True
20614,726379,14845,MBS INTERNATIONAL AIRPORT,US,MI,KMBS,43.533,-84.08,201.2,19730101,20181019,True
20625,726390,94849,ALPENA COUNTY REGIONAL AIRPORT,US,MI,KAPN,45.071999999999996,-83.564,208.5,19730101,20181019,True
20682,726440,14925,ROCHESTER INTERNATIONAL AIRPORT,US,MN,KRST,43.903999999999996,-92.492,397.5,19730101,20181019,True
20693,726456,94855,WHITTMAN REGIONAL AIRPORT,US,WI,KOSH,43.983999999999995,-88.557,238.4,20060101,20181019,True
20731,726505,4845,KENOSHA REGIONAL AIRPORT,US,WI,KENW,42.595,-87.93799999999999,226.5,20060101,20181019,True
20751,726518,94990,WINNER REGIONAL AIRPORT,US,SD,KICR,43.391000000000005,-99.84200000000001,619.4,20060101,20181019,True
20762,726540,14936,HURON REGIONAL AIRPORT,US,SD,KHON,44.398,-98.223,390.1,19730101,20181019,True
20764,726544,4958,ORR REGIONAL AIRPORT,US,MN,KORB,48.016000000000005,-92.85600000000001,399.6,20060101,20181019,True
20775,726550,14926,ST CLOUD REGIONAL AIRPORT,US,MN,KSTC,45.543,-94.051,307.5,19730101,20181019,True
20789,726560,24025,PIERRE REGIONAL AIRPORT,US,SD,KPIR,44.381,-100.286,531.0,20100801,20181019,True
20798,726564,4967,RED WING REGIONAL AIRPORT,US,MN,KRGK,44.589,-92.485,237.7,20060101,20181019,True
20839,726590,14929,ABERDEEN REGIONAL AIRPORT,US,SD,KABR,45.443000000000005,-98.413,395.3,19730101,20181019,True
20879,726679,4969,RUSH CITY REGIONAL AIRPORT,US,MN,KROS,45.698,-92.95299999999999,281.3,20060101,20181019,True
20897,726720,24061,RIVERTON REGIONAL AIRPORT,US,WY,KRIW,43.06399999999999,-108.459,1659.6,20070401,20181019,True
20907,726770,24033,BILLINGS LOGAN INTERNATIONAL AIRPORT,US,MT,KBIL,45.806999999999995,-108.542,1091.5,19350501,20181019,True
20956,726876,387,GRANT COUNTY REGIONAL AIRPORT OGILVIE FIELD,US,OR,KGCD,44.4,-118.96700000000001,1127.2,20090101,20181019,True
20969,726904,24231,ROSEBURG REGIONAL AIRPORT,US,OR,KRBG,43.239,-123.355,160.0,19800514,20181019,True
20994,726980,24229,PORTLAND INTERNATIONAL AIRPORT,US,OR,KPDX,45.596000000000004,-122.609,5.8,19360501,20181019,True
